architecture,attempts,eligibility,eligible,errors,extraction_timestamp,extraction_version,ineligible,refusals,scenario,source_artifact_digest,source_relative_path,source_row_event_identifier,strategy,target,treatment
live-agent,12,eligible,12,0,2026-08-01T00:00:00Z,paper-evidence-v1,0,0,RA-01,546f3547b727d08d452e7687191589e35839888285c622e8e639bdc6843d1b6b,artifacts/v0.6-agent-validation-live-origin-certified/reports/trace-eligibility-report.json,RA-01,not-applicable,12,trace-generation
live-agent,12,eligible,12,0,2026-08-01T00:00:00Z,paper-evidence-v1,0,0,RA-02,546f3547b727d08d452e7687191589e35839888285c622e8e639bdc6843d1b6b,artifacts/v0.6-agent-validation-live-origin-certified/reports/trace-eligibility-report.json,RA-02,not-applicable,12,trace-generation
live-agent,20,eligible,20,0,2026-08-01T00:00:00Z,paper-evidence-v1,0,0,RA-03,546f3547b727d08d452e7687191589e35839888285c622e8e639bdc6843d1b6b,artifacts/v0.6-agent-validation-live-origin-certified/reports/trace-eligibility-report.json,RA-03,not-applicable,20,trace-generation
