architecture,calls_attempted,calls_blocked,calls_forwarded,eligibility,extraction_timestamp,extraction_version,runs,scenario,source_artifact_digest,source_relative_path,source_row_event_identifier,strategy,treatment,workflow_completions
A1:A2,60,20,40,frozen-benign-trace,2026-08-01T00:00:00Z,paper-evidence-v1,20,RA-03,546f3547b727d08d452e7687191589e35839888285c622e8e639bdc6843d1b6b,artifacts/v0.6-agent-validation-live-origin-certified/reports/benign-workload-impact.json,INSIDE_WINDOW_BOUNDARY,containment-first,INSIDE_WINDOW_BOUNDARY,0
A1:A2,60,20,40,frozen-benign-trace,2026-08-01T00:00:00Z,paper-evidence-v1,20,RA-03,546f3547b727d08d452e7687191589e35839888285c622e8e639bdc6843d1b6b,artifacts/v0.6-agent-validation-live-origin-certified/reports/benign-workload-impact.json,INSIDE_WINDOW_EARLY,containment-first,INSIDE_WINDOW_EARLY,0
A1:A2,60,0,60,frozen-benign-trace,2026-08-01T00:00:00Z,paper-evidence-v1,20,RA-03,546f3547b727d08d452e7687191589e35839888285c622e8e639bdc6843d1b6b,artifacts/v0.6-agent-validation-live-origin-certified/reports/benign-workload-impact.json,NO_CONTEXT,containment-first,NO_CONTEXT,20
A1:A2,60,0,60,frozen-benign-trace,2026-08-01T00:00:00Z,paper-evidence-v1,20,RA-03,546f3547b727d08d452e7687191589e35839888285c622e8e639bdc6843d1b6b,artifacts/v0.6-agent-validation-live-origin-certified/reports/benign-workload-impact.json,OUTSIDE_WINDOW,containment-first,OUTSIDE_WINDOW,20
A1:A2,60,0,60,frozen-benign-trace,2026-08-01T00:00:00Z,paper-evidence-v1,20,RA-03,546f3547b727d08d452e7687191589e35839888285c622e8e639bdc6843d1b6b,artifacts/v0.6-agent-validation-live-origin-certified/reports/benign-workload-impact.json,POST_LOCAL_CONTAINMENT,containment-first,POST_LOCAL_CONTAINMENT,20
A1:A2,60,0,60,frozen-benign-trace,2026-08-01T00:00:00Z,paper-evidence-v1,20,RA-03,546f3547b727d08d452e7687191589e35839888285c622e8e639bdc6843d1b6b,artifacts/v0.6-agent-validation-live-origin-certified/reports/benign-workload-impact.json,POST_LOCAL_DETECTION,containment-first,POST_LOCAL_DETECTION,20
