amendment,architecture,artifact_digest,artifact_path,declared_predecessor_digest,digest_match,eligibility,extraction_timestamp,extraction_version,predecessor_digest,predecessor_match,predecessor_path,reason,recorded_digest,scenario,source_artifact_digest,source_relative_path,source_row_event_identifier,strategy,treatment
base-live,not-applicable,e5cf49806b7049d6b66018ba41b618d0be4ce9505e8be17b62fe932e008d8519,artifacts/v0.6-agent-validation-live,,True,recorded-amendment,2026-08-01T00:00:00Z,paper-evidence-v1,,True,,sealed initial provider failure,e5cf49806b7049d6b66018ba41b618d0be4ce9505e8be17b62fe932e008d8519,live-validation,cfc5396a651d062699a7e4374b9813380e3677abc593e2a8a4d46848406eb11f,artifacts/v0.6-agent-validation-live/artifact-root-digest.json,base-live,not-applicable,artifact-lineage
001,not-applicable,698ca3c116af6f8bcc74028731fb79543286d162bbc3abef01b13e0ee740aba5,artifacts/v0.6-agent-validation-live-amendment-001,e5cf49806b7049d6b66018ba41b618d0be4ce9505e8be17b62fe932e008d8519,True,recorded-amendment,2026-08-01T00:00:00Z,paper-evidence-v1,e5cf49806b7049d6b66018ba41b618d0be4ce9505e8be17b62fe932e008d8519,True,artifacts/v0.6-agent-validation-live,provider completion-token field,698ca3c116af6f8bcc74028731fb79543286d162bbc3abef01b13e0ee740aba5,live-validation,cfc5396a651d062699a7e4374b9813380e3677abc593e2a8a4d46848406eb11f,artifacts/v0.6-agent-validation-live-amendment-001/artifact-root-digest.json,001,not-applicable,artifact-lineage
002,not-applicable,f9bccfcaeff8b9e256c679b5b6938bc3cfd3fd895e3a9a1129c93498d5df1652,artifacts/v0.6-agent-validation-live-amendment-002,698ca3c116af6f8bcc74028731fb79543286d162bbc3abef01b13e0ee740aba5,True,recorded-amendment,2026-08-01T00:00:00Z,paper-evidence-v1,698ca3c116af6f8bcc74028731fb79543286d162bbc3abef01b13e0ee740aba5,True,artifacts/v0.6-agent-validation-live-amendment-001,provider reasoning mode,f9bccfcaeff8b9e256c679b5b6938bc3cfd3fd895e3a9a1129c93498d5df1652,live-validation,cfc5396a651d062699a7e4374b9813380e3677abc593e2a8a4d46848406eb11f,artifacts/v0.6-agent-validation-live-amendment-002/artifact-root-digest.json,002,not-applicable,artifact-lineage
003,not-applicable,cebc669a7a3cb8566d512d3be5c48d759c1676b461950ff9fbb0a10b2a967e96,artifacts/v0.6-agent-validation-live-amendment-003,f9bccfcaeff8b9e256c679b5b6938bc3cfd3fd895e3a9a1129c93498d5df1652,True,recorded-amendment,2026-08-01T00:00:00Z,paper-evidence-v1,f9bccfcaeff8b9e256c679b5b6938bc3cfd3fd895e3a9a1129c93498d5df1652,True,artifacts/v0.6-agent-validation-live-amendment-002,RA-03 eligibility alignment,cebc669a7a3cb8566d512d3be5c48d759c1676b461950ff9fbb0a10b2a967e96,live-validation,cfc5396a651d062699a7e4374b9813380e3677abc593e2a8a4d46848406eb11f,artifacts/v0.6-agent-validation-live-amendment-003/artifact-root-digest.json,003,not-applicable,artifact-lineage
004,not-applicable,24a20e9c48a2061874503ed56b54f68d1de92bc6a6800a42fb5398170fbd17bd,artifacts/v0.6-agent-validation-live-final,cebc669a7a3cb8566d512d3be5c48d759c1676b461950ff9fbb0a10b2a967e96,True,recorded-amendment,2026-08-01T00:00:00Z,paper-evidence-v1,cebc669a7a3cb8566d512d3be5c48d759c1676b461950ff9fbb0a10b2a967e96,True,artifacts/v0.6-agent-validation-live-amendment-003,completion-gate ordering,24a20e9c48a2061874503ed56b54f68d1de92bc6a6800a42fb5398170fbd17bd,live-validation,cfc5396a651d062699a7e4374b9813380e3677abc593e2a8a4d46848406eb11f,artifacts/v0.6-agent-validation-live-final/artifact-root-digest.json,004,not-applicable,artifact-lineage
005,not-applicable,2b1f92ff4481f6f3cb9a591c4ae77a3325757c4063d7c42439782e0474845f64,artifacts/v0.6-agent-validation-live-certified,24a20e9c48a2061874503ed56b54f68d1de92bc6a6800a42fb5398170fbd17bd,True,recorded-amendment,2026-08-01T00:00:00Z,paper-evidence-v1,24a20e9c48a2061874503ed56b54f68d1de92bc6a6800a42fb5398170fbd17bd,True,artifacts/v0.6-agent-validation-live-final,derived RA-03 utility reconciliation,2b1f92ff4481f6f3cb9a591c4ae77a3325757c4063d7c42439782e0474845f64,live-validation,cfc5396a651d062699a7e4374b9813380e3677abc593e2a8a4d46848406eb11f,artifacts/v0.6-agent-validation-live-certified/artifact-root-digest.json,005,not-applicable,artifact-lineage
006,not-applicable,546f3547b727d08d452e7687191589e35839888285c622e8e639bdc6843d1b6b,artifacts/v0.6-agent-validation-live-origin-certified,2b1f92ff4481f6f3cb9a591c4ae77a3325757c4063d7c42439782e0474845f64,True,recorded-amendment,2026-08-01T00:00:00Z,paper-evidence-v1,2b1f92ff4481f6f3cb9a591c4ae77a3325757c4063d7c42439782e0474845f64,True,artifacts/v0.6-agent-validation-live-certified,physical tcopd-a relay replay,546f3547b727d08d452e7687191589e35839888285c622e8e639bdc6843d1b6b,live-validation,546f3547b727d08d452e7687191589e35839888285c622e8e639bdc6843d1b6b,artifacts/v0.6-agent-validation-live-origin-certified/artifact-root-digest.json,006,not-applicable,artifact-lineage
